City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,15.27,97,100,4.8,NZ,1675557641
1,vaini,-21.2,-175.2,30.09,74,75,8.23,TO,1675557994
2,rikitea,-23.1203,-134.9692,25.83,76,11,5.6,PF,1675557935
3,tete,-16.1564,33.5867,27.05,69,40,4.12,MZ,1675558114
4,barrow,71.2906,-156.7887,-30.99,76,20,4.12,US,1675557997
5,atuona,-9.8,-139.0333,26.01,77,25,7.77,PF,1675557673
6,sinnamary,5.3833,-52.95,25.03,87,100,6.93,GF,1675558013
7,aklavik,68.2191,-135.0107,-36.0,68,0,1.54,CA,1675558075
8,mataura,-46.1927,168.8643,18.08,93,100,1.9,NZ,1675557954
9,mnogovershinnyy,53.9353,139.9242,-20.88,86,100,1.5,RU,1675558117
10,sao filipe,14.8961,-24.4956,21.86,64,99,5.08,CV,1675558117
11,busselton,-33.65,115.3333,28.11,32,73,2.16,AU,1675557999
12,swan hill,-35.3378,143.5544,22.63,36,0,2.69,AU,1675558118
13,hamilton,39.1834,-84.5333,6.97,47,0,7.2,US,1675558119
14,omboue,-1.5746,9.2618,25.04,88,97,2.95,GA,1675557894
15,sisimiut,66.9395,-53.6735,-22.53,93,85,3.74,GL,1675558120
16,bestobe,52.4994,73.0975,-23.17,100,100,2.09,KZ,1675558120
17,upernavik,72.7868,-56.1549,-22.86,99,98,0.79,GL,1675557650
18,hermanus,-34.4187,19.2345,21.56,93,66,2.37,ZA,1675557996
19,lata,40.1629,-8.3327,5.81,63,0,2.1,PT,1675558121
20,new norfolk,-42.7826,147.0587,23.17,42,0,1.34,AU,1675558122
21,thompson,55.7435,-97.8558,-19.91,77,75,1.03,CA,1675558053
22,machali,-34.1833,-70.6667,24.6,44,0,6.17,CL,1675558123
23,namibe,-15.1961,12.1522,21.05,79,100,2.32,AO,1675558123
24,broken hill,-31.95,141.4333,21.71,38,0,3.22,AU,1675558124
25,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.03,CA,1675558125
26,punta arenas,-53.15,-70.9167,13.06,88,0,10.8,CL,1675557638
27,talnakh,69.4865,88.3972,-11.55,96,100,3.26,RU,1675558125
28,port alfred,-33.5906,26.891,25.1,68,100,0.89,ZA,1675557873
29,norman wells,65.282,-126.8329,-25.98,70,75,1.54,CA,1675558127
30,ushuaia,-54.8,-68.3,12.81,62,75,5.66,AR,1675557889
31,guayaramerin,-10.8368,-65.3614,22.38,97,100,0.85,BO,1675558127
32,narsaq,60.9167,-46.05,-4.88,95,95,2.65,GL,1675557957
33,meadow lake,34.8014,-106.5436,14.69,23,0,1.45,US,1675558128
34,cherskiy,68.75,161.3,-37.22,100,93,0.58,RU,1675558034
35,hobart,-42.8794,147.3294,23.36,50,20,4.12,AU,1675558090
36,marystown,47.1666,-55.1483,-7.42,82,100,18.12,CA,1675558130
37,komsomolskiy,40.4272,71.7189,3.4,87,100,3.09,UZ,1675558130
38,pevek,69.7008,170.3133,-37.08,100,38,1.27,RU,1675558131
39,taiyuan,37.8694,112.5603,-6.08,58,0,1.0,CN,1675558132
40,bambous virieux,-20.3428,57.7575,26.14,83,40,1.54,MU,1675557940
41,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1675557757
42,cape town,-33.9258,18.4232,21.6,90,75,5.66,ZA,1675557900
43,hithadhoo,-0.6,73.0833,26.84,72,16,6.48,MV,1675558017
44,kieta,-6.2167,155.6333,28.11,78,100,1.66,PG,1675558054
45,karachi,24.9056,67.0822,14.9,88,40,1.54,PK,1675558128
46,the valley,18.217,-63.0578,25.92,79,11,8.86,AI,1675558116
47,fasa,28.9383,53.6482,3.58,93,0,0.0,IR,1675558135
48,saint-philippe,-21.3585,55.7679,24.77,84,94,4.25,RE,1675558136
49,avera,33.194,-82.5271,5.73,48,100,2.82,US,1675558136
50,myitkyina,25.3833,97.4,14.97,55,0,1.23,MM,1675558137
51,bredasdorp,-34.5322,20.0403,21.23,85,84,2.98,ZA,1675557775
52,merauke,-8.4667,140.3333,27.27,80,80,4.38,ID,1675558138
53,tura,25.5198,90.2201,12.54,64,4,1.16,IN,1675558138
54,harnosand,62.6323,17.9379,-17.0,80,100,7.93,SE,1675558139
55,nagornyy,52.7959,83.5498,-21.47,100,92,1.64,RU,1675558140
56,jamestown,42.097,-79.2353,-2.94,36,0,6.17,US,1675557843
57,ust-omchug,61.15,149.6333,-30.26,98,95,1.65,RU,1675558140
58,pisco,-13.7,-76.2167,22.03,94,87,2.57,PE,1675558024
59,yellowknife,62.456,-114.3525,-25.71,70,75,2.06,CA,1675558000
60,carnarvon,-24.8667,113.6333,27.58,65,11,3.95,AU,1675558066
61,poum,-20.2333,164.0167,28.78,76,100,1.75,NC,1675558142
62,castro,-24.7911,-50.0119,16.85,94,100,2.24,BR,1675557907
63,fort nelson,58.8053,-122.7002,-14.47,84,100,1.54,CA,1675558147
64,ancud,-41.8697,-73.8203,15.63,87,18,1.19,CL,1675558153
65,bathsheba,13.2167,-59.5167,26.34,78,75,9.77,BB,1675557901
66,borger,52.9233,6.7931,5.46,88,100,3.37,NL,1675558157
67,severo-kurilsk,50.6789,156.125,-2.09,72,99,2.77,RU,1675557965
68,anan,33.9167,134.65,3.88,53,4,4.56,JP,1675558159
69,port lincoln,-34.7333,135.8667,20.06,58,47,3.1,AU,1675558161
70,albany,42.6001,-73.9662,-9.87,49,65,2.16,US,1675557857
71,kodiak,57.79,-152.4072,2.73,65,0,0.0,US,1675557670
72,butaritari,3.0707,172.7902,27.33,82,76,8.46,KI,1675557894
73,roma,43.2128,-75.4557,-7.73,52,100,5.14,US,1675558081
74,praia da vitoria,38.7333,-27.0667,15.42,94,20,6.6,PT,1675558168
75,souillac,-20.5167,57.5167,26.21,83,40,1.54,MU,1675558170
76,balaguer,41.7912,0.8109,1.86,72,0,1.16,ES,1675558174
77,caravelas,-17.7125,-39.2481,26.38,83,81,5.31,BR,1675558174
78,hilo,19.7297,-155.09,26.85,73,75,5.14,US,1675557875
79,polyarnyy,69.1989,33.4478,-14.94,98,78,2.52,RU,1675558175
80,komarno,47.7636,18.1226,-0.91,65,3,7.53,SK,1675558176
81,la ronge,55.1001,-105.2842,-11.86,79,75,1.54,CA,1675558176
82,baiquan,47.5833,126.0833,-17.26,96,29,3.02,CN,1675558177
83,ribeira grande,38.5167,-28.7,16.54,89,21,6.26,PT,1675558069
84,namatanai,-3.6667,152.4333,27.97,73,100,1.21,PG,1675558178
85,qianan,44.9932,124.0581,-12.05,76,12,3.14,CN,1675558179
86,matagami,49.7502,-77.6328,-15.94,78,100,5.14,CA,1675558179
87,qaanaaq,77.484,-69.3632,-20.91,59,13,0.87,GL,1675558180
88,el carmen,8.5106,-73.4478,19.93,76,11,2.57,CO,1675558180
89,lebu,-37.6167,-73.65,14.92,95,84,1.27,CL,1675558181
90,chuy,-33.6971,-53.4616,19.07,93,96,7.44,UY,1675558068
91,luderitz,-26.6481,15.1594,17.28,87,77,6.91,NA,1675558142
92,husavik,66.0449,-17.3389,-1.96,75,100,6.73,IS,1675558182
93,provideniya,64.3833,-173.3,-18.15,90,99,4.67,RU,1675558183
94,capim grosso,-11.3811,-40.0128,25.99,60,73,4.33,BR,1675558183
95,nikolskoye,59.7035,30.7861,-5.06,98,96,1.65,RU,1675558184
96,sorong,-0.8833,131.25,25.65,84,100,1.64,ID,1675558185
97,puerto ayora,-0.7393,-90.3518,26.42,93,63,2.68,EC,1675557879
98,ferrol,43.4832,-8.2369,11.82,84,1,5.14,ES,1675558186
99,majene,-3.5403,118.9707,26.49,76,100,2.15,ID,1675558186
100,hasaki,35.7333,140.8333,7.94,52,10,6.03,JP,1675558187
101,kaitangata,-46.2817,169.8464,22.75,66,100,3.2,NZ,1675558188
102,kapaa,22.0752,-159.319,24.18,80,75,4.63,US,1675558020
103,shawville,45.6001,-76.4827,-14.76,94,100,5.07,CA,1675558189
104,la asuncion,11.0333,-63.8628,24.86,80,11,6.98,VE,1675558189
105,phonhong,18.5007,102.4166,21.33,91,13,0.12,LA,1675558190
106,svecha,58.2785,47.5164,-11.63,98,100,1.41,RU,1675558191
107,douentza,14.9951,-2.9517,20.14,14,95,3.0,ML,1675558191
108,somers point,39.3176,-74.5946,-2.23,63,0,5.81,US,1675558074
109,naze,28.3667,129.4833,15.51,63,100,4.21,JP,1675558192
110,clyde river,70.4692,-68.5914,-26.87,63,100,7.72,CA,1675558193
111,necochea,-38.5473,-58.7368,15.44,79,0,4.51,AR,1675558193
112,umm bab,25.2142,50.8072,15.82,64,0,2.47,QA,1675558194
113,torbay,47.6666,-52.7314,-10.96,82,75,11.32,CA,1675558195
114,uhlove,44.8215,33.6045,2.79,76,100,3.55,UA,1675558196
115,ballina,-28.8667,153.5667,28.9,65,54,3.66,AU,1675558196
116,jinchang,38.4953,102.1739,-2.49,38,2,1.59,CN,1675558197
117,oia,40.5426,-8.5386,5.76,86,0,1.78,PT,1675558198
118,oriximina,-1.7656,-55.8661,23.72,94,100,1.24,BR,1675558198
119,tasiilaq,65.6145,-37.6368,-3.91,93,100,16.27,GL,1675558005
120,samarai,-10.6167,150.6667,28.77,70,91,0.84,PG,1675558199
121,west bay,19.3667,-81.4167,26.11,82,20,3.6,KY,1675558199
122,deputatskiy,69.3,139.9,-32.99,99,100,1.11,RU,1675558200
123,masumbwe,-3.6333,32.1833,16.51,89,65,1.23,TZ,1675558203
124,katsuura,35.1333,140.3,9.53,58,46,6.37,JP,1675558207
125,makakilo city,21.3469,-158.0858,24.2,76,20,4.63,US,1675558210
126,ambositra,-20.5167,47.25,16.64,98,100,1.18,MG,1675558213
127,yar-sale,66.8333,70.8333,-14.48,97,88,3.06,RU,1675558216
128,vao,-22.6667,167.4833,26.48,87,100,9.35,NC,1675558219
129,thunder bay,48.4001,-89.3168,-9.01,57,100,0.51,CA,1675558016
130,grindavik,63.8424,-22.4338,3.26,93,100,10.8,IS,1675558223
131,vostochnyy,55.8167,37.8667,-1.01,97,100,1.84,RU,1675558228
132,alugan,12.2188,125.4808,26.14,84,100,6.62,PH,1675558231
133,ponta do sol,32.6667,-17.1,16.35,49,40,3.6,PT,1675558074
134,stephenville,32.2207,-98.2023,11.44,69,0,3.09,US,1675558233
135,eyl,7.9803,49.8164,21.57,75,100,5.4,SO,1675558234
136,businga,3.3333,20.8833,21.37,33,33,0.22,CD,1675558234
137,vila franca do campo,37.7167,-25.4333,13.23,85,0,2.96,PT,1675558235
138,dingle,10.9995,122.6711,26.85,79,19,5.28,PH,1675558019
139,kangavar,34.5043,47.9653,-3.36,69,12,0.49,IR,1675558236
140,constitucion,-35.3333,-72.4167,14.85,96,18,0.62,CL,1675558003
141,wanaka,-44.7,169.15,19.5,82,100,0.89,NZ,1675558237
142,bethel,41.3712,-73.414,-6.31,47,20,2.06,US,1675557939
143,spearfish,44.4908,-103.8594,5.49,45,0,4.63,US,1675558238
144,bela,25.9333,81.9833,11.25,62,0,2.8,IN,1675557961
145,sao gabriel da cachoeira,-0.1303,-67.0892,22.54,98,100,0.52,BR,1675558239
146,monrovia,6.3005,-10.7969,24.87,89,100,3.65,LR,1675558239
